"","UniqueID","site_name_rom","phase_start","phase_end","total_0_4","total_over_5","total_5_19","n","ratio_5_19","ratio_0_5"
"108","Sonno Shellmound","Sonno Shellmound",-4235,-3900,0.4,7.6,0.6,8,0.0789473684210526,0.0526315789473684
"109","South Kasori Shellmound","South Kasori Shellmound",-4490,-3220,0,1,0,1,0,0
"110","South Kasori Shellmound.1","South Kasori Shellmound",-4235,-4050,1.6,8.4,2.4,10,0.285714285714286,0.19047619047619
"111","South Kasori Shellmound.2","South Kasori Shellmound",-4235,-3900,0,1,0,1,0,0
"112","South Kasori Shellmound.3","South Kasori Shellmound",-3900,-3750,0.4,1.6,0.6,2,0.375,0.25
"113","South Kasori Shellmound.4","South Kasori Shellmound",-3900,-3420,0.4,5.6,0.6,6,0.107142857142857,0.0714285714285714
"114","South Kasori Shellmound.5","South Kasori Shellmound",-3750,-3525,0,1,0,1,0,0
"115","South Kasori Shellmound.6","South Kasori Shellmound",-3420,-3370,0.4,0.6,0.6,1,1,0.666666666666667
"116","South Kasori Shellmound.7","South Kasori Shellmound",-3370,-3220,0,1,0,1,0,0
"117","Soya Shellmound","Soya Shellmound",-4490,-3220,0,1,0,1,0,0
"118","Takanekido Shellmound","Takanekido Shellmound",-4950,-4860,0,4,0,4,0,0
"119","Takanekido Shellmound.1","Takanekido Shellmound",-4860,-4730,0,4,0,4,0,0
"120","Tenjinmae Site","Tenjinmae Site",-7050,-5415,0,1,0,1,0,0
"121","Tobinodai Shellmound","Tobinodai Shellmound",-15540,-7050,0,2,1,2,0.5,0
"122","Tochibaraiwakage Site","Tochibaraiwakage Site",-15540,-7050,3.5,2.5,0.5,6,0.2,1.4
"123","Toyosawa Shellmound","Toyosawa Shellmound",-4490,-3220,0,2,0,2,0,0
"124","Tsuheijinimami Shellmound","Tsuheijinimami Shellmound",-5415,-4395,0,2,0,2,0,0
"125","Ubayama Shellmound","Ubayama Shellmound",-4950,-4490,2.8,19.2,3.53333333333333,22,0.184027777777778,0.145833333333333
"126","Ubayama Shellmound.1","Ubayama Shellmound",-4950,-3420,0.4,4.6,0.6,5,0.130434782608696,0.0869565217391304
"127","Ubayama Shellmound.2","Ubayama Shellmound",-4235,-3900,1,3,0,4,0,0.333333333333333
"128","Ubayama Shellmound.3","Ubayama Shellmound",-3900,-3420,0,24,5,24,0.208333333333333,0
"129","Uchino Site","Uchino Site",-3370,-3220,0,4,0,4,0,0
"130","Uchino Site.1","Uchino Site",-3370,-3130,1,7,0,8,0,0.142857142857143
"131","Warabitachi Site","Warabitachi Site",-5310,-5270,0,1,0,1,0,0
"132","Warabitachi Site.1","Warabitachi Site",-4950,-4860,0,1,0,1,0,0
"133","Warabitachi Site.2","Warabitachi Site",-4860,-4730,0.4,3.6,0.6,4,0.166666666666667,0.111111111111111
"134","Yahagi Shellmound","Yahagi Shellmound",-4235,-4050,0.4,3.6,1.6,4,0.444444444444444,0.111111111111111
"135","Yahagi Shellmound.1","Yahagi Shellmound",-4235,-3900,0,8,2,8,0.25,0
"136","Yahagi Shellmound.2","Yahagi Shellmound",-4050,-3900,0,1,0,1,0,0
"137","Yamakura Shellmound","Yamakura Shellmound",-5415,-4395,1,1,0,2,0,1
"138","Yamakura Shellmound.1","Yamakura Shellmound",-4950,-4860,0,1,0,1,0,0
"139","Yamakura Shellmound.2","Yamakura Shellmound",-4950,-4490,1,4,2,5,0.5,0.25
"140","Yamakura Shellmound.3","Yamakura Shellmound",-4860,-4730,0,3,1,3,0.333333333333333,0
"141","Yamakura Shellmound.4","Yamakura Shellmound",-4730,-4540,0.266666666666667,2.733333333,0.733333333333333,3,0.268292682959548,0.0975609756216538
